time_ms,spike,neuron_id
0,1,8
0,1,19
0,1,35
0,1,36
1,1,10
1,1,69
2,1,21
2,1,61
3,1,28
3,1,48
3,1,50
3,1,55
3,1,76
4,1,26
4,1,44
5,1,25
5,1,62
5,1,64
5,1,86
6,1,9
6,1,29
6,1,52
7,1,85
7,1,97
8,1,20
8,1,24
8,1,38
8,1,49
8,1,95
9,1,31
9,1,74
9,1,78
9,1,80
10,1,15
10,1,33
10,1,45
10,1,68
11,1,0
11,1,1
11,1,7
11,1,17
11,1,73
11,1,89
11,1,90
12,1,60
12,1,93
13,1,30
13,1,34
13,1,46
13,1,94
14,1,18
14,1,35
14,1,36
14,1,41
14,1,58
14,1,65
14,1,67
14,1,87
14,1,92
15,1,3
15,1,8
15,1,10
15,1,14
15,1,19
15,1,72
15,1,75
15,1,79
16,1,16
16,1,21
16,1,27
16,1,32
16,1,47
16,1,57
16,1,69
16,1,82
16,1,83
16,1,91
17,1,22
17,1,23
17,1,28
17,1,37
17,1,39
17,1,40
17,1,53
17,1,55
17,1,56
17,1,61
17,1,71
17,1,98
18,1,5
18,1,11
18,1,12
18,1,13
18,1,26
18,1,44
18,1,48
18,1,50
18,1,51
18,1,76
18,1,88
19,1,2
19,1,4
19,1,25
19,1,43
19,1,59
19,1,64
19,1,86
19,1,96
20,1,6
20,1,9
20,1,54
20,1,62
20,1,63
20,1,66
20,1,70
20,1,77
20,1,99
21,1,29
21,1,42
21,1,52
21,1,81
21,1,84
21,1,85
21,1,97
22,1,20
22,1,24
22,1,38
22,1,49
23,1,31
23,1,78
23,1,80
23,1,95
24,1,15
24,1,33
24,1,45
24,1,68
24,1,74
25,1,0
25,1,1
25,1,17
25,1,73
25,1,90
26,1,7
26,1,89
27,1,34
27,1,46
27,1,60
27,1,93
28,1,30
28,1,58
28,1,92
28,1,94
29,1,3
29,1,14
29,1,18
29,1,19
29,1,35
29,1,36
29,1,41
29,1,65
29,1,67
29,1,75
29,1,79
29,1,87
30,1,8
30,1,10
30,1,16
30,1,47
