time_bin_ms,popA_spikes,popB_spikes
0,618,0
100,521,0
200,470,0
300,420,0
400,404,0
500,389,0
600,177,394
700,0,560
800,0,489
900,0,455
1000,0,403
1100,0,400
1200,0,386
1300,0,363
1400,0,375
1500,221,275
1600,585,0
1700,494,0
1800,431,0
1900,412,0
2000,395,0
2100,387,0
2200,383,0
2300,393,0
2400,360,61
2500,38,529
2600,0,527
2700,0,458
2800,0,426
2900,0,400
3000,0,399
3100,0,370
3200,0,368
3300,1,379
3400,352,182
3500,571,0
3600,484,0
3700,425,0
3800,405,0
3900,395,0
4000,386,0
4100,383,0
4200,388,0
4300,310,125
4400,0,599
4500,0,500
4600,0,459
4700,0,419
4800,0,400
4900,0,384
5000,0,365
5100,0,376
5200,7,380
5300,508,93
5400,522,0
5500,473,0
5600,420,0
5700,404,0
5800,390,0
5900,385,0
6000,393,0
6100,365,0
6200,233,263
6300,0,578
6400,0,491
6500,0,452
6600,0,417
6700,0,392
6800,0,374
6900,0,374
7000,0,379
7100,102,380
7200,534,0
7300,513,0
7400,463,0
7500,415,0
7600,400,0
7700,391,0
7800,384,0
7900,391,0
8000,357,1
8100,150,423
8200,0,539
8300,0,475
8400,0,446
8500,0,409
8600,0,390
8700,0,368
8800,0,379
8900,0,377
9000,168,293
9100,596,0
9200,501,0
9300,448,0
9400,411,0
9500,396,0
9600,387,0
9700,395,0
9800,370,0
9900,365,38
