time_bin_ms,popA_spikes,popB_spikes
0,69,5374
100,90,4472
200,81,3846
300,90,3150
400,83,3067
500,87,3031
600,3365,1472
700,4955,97
800,4142,102
900,3627,105
1000,3201,100
1100,3108,103
1200,2801,98
1300,2775,103
1400,2955,102
1500,2183,1986
1600,111,5145
1700,112,4146
1800,109,3318
1900,112,3128
2000,114,3063
2100,111,2992
2200,114,2983
2300,107,3082
2400,409,2542
2500,4626,521
2600,4773,104
2700,3529,101
2800,3644,99
2900,3050,100
3000,2914,104
3100,2604,102
3200,2884,95
3300,2971,108
3400,1505,2888
3500,116,5255
3600,111,4019
3700,109,3179
3800,112,3110
3900,110,3020
4000,117,2935
4100,105,3068
4200,116,2682
4300,844,2470
4400,5577,103
4500,4309,99
4600,3506,100
4700,3401,99
4800,3097,105
4900,2837,98
5000,2720,105
5100,2937,98
5200,3040,106
5300,729,4263
5400,109,4821
5500,112,3848
5600,105,3179
5700,116,3036
5800,112,2990
5900,109,3042
6000,112,3004
6100,111,2537
6200,2148,2012
6300,5332,99
6400,4021,101
6500,3495,106
6600,3371,97
6700,3014,103
6800,2707,104
6900,2879,101
7000,3000,98
7100,3008,844
7200,105,4945
7300,116,4192
7400,106,3868
7500,112,3160
7600,113,2998
7700,111,3067
7800,111,2997
7900,111,2716
8000,116,2586
8100,3823,1431
8200,4424,99
8300,4042,106
8400,3520,95
8500,3205,105
8600,2878,99
8700,2808,98
8800,2990,107
8900,2996,99
9000,2202,1017
9100,111,5635
9200,112,4309
9300,112,3579
9400,109,3073
9500,114,3055
9600,112,3041
9700,110,2969
9800,109,2590
9900,251,2853
10000,1917,597
