block_index,popA,popB,state,extensor_side_activation,flexor_side_activation
0,20.0,2568.0,-0.8493333333333334,0.0,0.8493333333333334
1,49.0,2806.0,-1.0,0.0,1.0
2,44.0,2394.0,-1.0,0.0,1.0
3,46.0,2078.0,-1.0,0.0,1.0
4,39.0,2011.0,-1.0,0.0,1.0
5,42.0,1835.0,-1.0,0.0,1.0
6,44.0,1555.0,-1.0,0.0,1.0
7,46.0,1595.0,-1.0,0.0,1.0
8,39.0,1554.0,-1.0,0.0,1.0
9,44.0,1513.0,-1.0,0.0,1.0
10,41.0,1477.0,-1.0,0.0,1.0
11,46.0,1554.0,-1.0,0.0,1.0
12,739.0,1426.0,-1.0,0.0,1.0
13,2629.0,46.0,-0.08899999999999997,0.0,0.08899999999999997
14,2694.0,51.0,0.79645,0.79645,0.0
15,2264.0,46.0,1.0,1.0,0.0
16,2415.0,49.0,1.0,1.0,0.0
17,1730.0,53.0,1.0,1.0,0.0
18,1795.0,51.0,1.0,1.0,0.0
19,1835.0,54.0,1.0,1.0,0.0
20,1649.0,47.0,1.0,1.0,0.0
21,1554.0,53.0,1.0,1.0,0.0
22,1592.0,53.0,1.0,1.0,0.0
23,1519.0,50.0,1.0,1.0,0.0
24,1426.0,48.0,1.0,1.0,0.0
25,1377.0,50.0,1.0,1.0,0.0
26,1339.0,54.0,1.0,1.0,0.0
27,1438.0,49.0,1.0,1.0,0.0
28,1475.0,53.0,1.0,1.0,0.0
29,1482.0,49.0,1.0,1.0,0.0
30,1540.0,88.0,1.0,1.0,0.0
31,645.0,1898.0,0.5323333333333333,0.5323333333333333,0.0
32,58.0,2555.0,-0.32661666666666667,0.0,0.32661666666666667
33,53.0,2590.0,-1.0,0.0,1.0
34,56.0,2073.0,-1.0,0.0,1.0
35,56.0,2073.0,-1.0,0.0,1.0
36,55.0,1725.0,-1.0,0.0,1.0
37,54.0,1593.0,-1.0,0.0,1.0
38,57.0,1614.0,-1.0,0.0,1.0
39,55.0,1514.0,-1.0,0.0,1.0
40,58.0,1533.0,-1.0,0.0,1.0
41,56.0,1530.0,-1.0,0.0,1.0
42,55.0,1457.0,-1.0,0.0,1.0
43,56.0,1535.0,-1.0,0.0,1.0
44,58.0,1513.0,-1.0,0.0,1.0
45,56.0,1470.0,-1.0,0.0,1.0
46,51.0,1569.0,-1.0,0.0,1.0
47,56.0,1513.0,-1.0,0.0,1.0
48,59.0,1245.0,-1.0,0.0,1.0
49,350.0,1297.0,-1.0,0.0,1.0
50,1906.0,469.0,-0.471,0.0,0.471
51,2724.0,52.0,0.4432166666666667,0.4432166666666667,0.0
52,2544.0,49.0,1.0,1.0,0.0
53,2232.0,55.0,1.0,1.0,0.0
54,1702.0,45.0,1.0,1.0,0.0
55,1830.0,56.0,1.0,1.0,0.0
56,1983.0,52.0,1.0,1.0,0.0
57,1663.0,47.0,1.0,1.0,0.0
58,1546.0,54.0,1.0,1.0,0.0
59,1507.0,46.0,1.0,1.0,0.0
60,1545.0,52.0,1.0,1.0,0.0
61,1371.0,52.0,1.0,1.0,0.0
62,1341.0,52.0,1.0,1.0,0.0
63,1265.0,50.0,1.0,1.0,0.0
64,1420.0,47.0,1.0,1.0,0.0
65,1466.0,48.0,1.0,1.0,0.0
66,1494.0,54.0,1.0,1.0,0.0
67,1479.0,54.0,1.0,1.0,0.0
68,1458.0,776.0,1.0,1.0,0.0
69,48.0,2112.0,0.262,0.262,0.0
70,56.0,2883.0,-0.6934333333333333,0.0,0.6934333333333333
71,60.0,2372.0,-1.0,0.0,1.0
72,55.0,1860.0,-1.0,0.0,1.0
73,56.0,2159.0,-1.0,0.0,1.0
74,56.0,1604.0,-1.0,0.0,1.0
75,53.0,1575.0,-1.0,0.0,1.0
76,59.0,1598.0,-1.0,0.0,1.0
77,53.0,1512.0,-1.0,0.0,1.0
78,58.0,1504.0,-1.0,0.0,1.0
79,52.0,1516.0,-1.0,0.0,1.0
80,58.0,1500.0,-1.0,0.0,1.0
81,59.0,1435.0,-1.0,0.0,1.0
82,51.0,1568.0,-1.0,0.0,1.0
83,54.0,1500.0,-1.0,0.0,1.0
84,58.0,1454.0,-1.0,0.0,1.0
85,58.0,1228.0,-1.0,0.0,1.0
86,60.0,1215.0,-1.0,0.0,1.0
87,785.0,1255.0,-1.0,0.0,1.0
