block_index,sim_start_ms,sim_end_ms,loop_latency_ms,deadline_delta_ms,debt_ms,deadline_missed
0,0,50,44.595806,-5.404194,0,0
1,50,100,49.686381,-0.313619,0,0
2,100,150,44.197375,-5.802625,0,0
3,150,200,49.446356,-0.553644,0,0
4,200,250,44.273024,-5.726976,0,0
5,250,300,47.679709,-2.320291,0,0
6,300,350,45.211365,-4.788635,0,0
7,350,400,46.833820,-3.166180,0,0
8,400,450,44.794611,-5.205389,0,0
9,450,500,46.143596,-3.856404,0,0
10,500,550,45.235945,-4.764055,0,0
11,550,600,46.635217,-3.364783,0,0
12,600,650,44.775988,-5.224012,0,0
13,650,700,46.769024,-3.230976,0,0
14,700,750,46.103853,-3.896147,0,0
15,750,800,43.792284,-6.207716,0,0
16,800,850,47.240782,-2.759218,0,0
17,850,900,45.513495,-4.486505,0,0
18,900,950,45.049856,-4.950144,0,0
19,950,1000,47.347083,-2.652917,0,0
20,1000,1050,44.292465,-5.707535,0,0
21,1050,1100,45.673052,-4.326948,0,0
22,1100,1150,46.092591,-3.907409,0,0
23,1150,1200,44.951546,-5.048454,0,0
24,1200,1250,47.566994,-2.433006,0,0
25,1250,1300,43.567183,-6.432817,0,0
26,1300,1350,46.539087,-3.460913,0,0
27,1350,1400,43.531441,-6.468559,0,0
28,1400,1450,47.542406,-2.457594,0,0
29,1450,1500,43.727783,-6.272217,0,0
30,1500,1550,58.290863,8.290863,0,1
31,1550,1600,41.003664,-8.996336,8,0
32,1600,1650,43.759966,-6.240034,0,0
33,1650,1700,47.873223,-2.126777,0,0
34,1700,1750,45.250493,-4.749507,0,0
35,1750,1800,47.877807,-2.122193,0,0
36,1800,1850,45.694247,-4.305753,0,0
37,1850,1900,47.214275,-2.785725,0,0
38,1900,1950,44.247253,-5.752747,0,0
39,1950,2000,45.340728,-4.659272,0,0
40,2000,2050,45.020086,-4.979914,0,0
41,2050,2100,47.046966,-2.953034,0,0
42,2100,2150,43.349373,-6.650627,0,0
43,2150,2200,47.706746,-2.293254,0,0
44,2200,2250,44.981995,-5.018005,0,0
45,2250,2300,45.435813,-4.564187,0,0
46,2300,2350,47.122322,-2.877678,0,0
47,2350,2400,42.101637,-7.898363,0,0
48,2400,2450,48.228381,-1.771619,0,0
49,2450,2500,42.756669,-7.243331,0,0
50,2500,2550,50.303670,0.303670,0,1
51,2550,2600,39.942809,-10.057191,0,0
52,2600,2650,51.923008,1.923008,0,1
53,2650,2700,39.553251,-10.446749,1,0
54,2700,2750,51.034140,1.034140,0,1
55,2750,2800,40.344873,-9.655127,1,0
56,2800,2850,49.709086,-0.290914,0,0
57,2850,2900,40.177779,-9.822221,0,0
58,2900,2950,52.538992,2.538992,0,1
59,2950,3000,40.899975,-9.100025,2,0
60,3000,3050,48.937260,-1.062740,0,0
61,3050,3100,42.087161,-7.912839,0,0
62,3100,3150,48.361034,-1.638966,0,0
63,3150,3200,42.570065,-7.429935,0,0
64,3200,3250,47.841296,-2.158704,0,0
65,3250,3300,45.580886,-4.419114,0,0
66,3300,3350,47.555252,-2.444748,0,0
67,3350,3400,44.998119,-5.001881,0,0
68,3400,3450,47.641661,-2.358339,0,0
69,3450,3500,45.615045,-4.384955,0,0
70,3500,3550,47.160033,-2.839967,0,0
71,3550,3600,45.006125,-4.993875,0,0
72,3600,3650,47.155476,-2.844524,0,0
73,3650,3700,44.826460,-5.173540,0,0
74,3700,3750,48.034224,-1.965776,0,0
75,3750,3800,43.168066,-6.831934,0,0
76,3800,3850,49.196565,-0.803435,0,0
77,3850,3900,42.301733,-7.698267,0,0
78,3900,3950,49.228697,-0.771303,0,0
79,3950,4000,43.261215,-6.738785,0,0
80,4000,4050,48.282535,-1.717465,0,0
81,4050,4100,44.371814,-5.628186,0,0
82,4100,4150,49.452321,-0.547679,0,0
83,4150,4200,43.579205,-6.420795,0,0
84,4200,4250,48.449391,-1.550609,0,0
85,4250,4300,42.198678,-7.801322,0,0
86,4300,4350,50.252392,0.252392,0,1
87,4350,4400,44.260036,-5.739964,0,0
88,4400,4450,50.970253,0.970253,0,1
89,4450,4500,42.769258,-7.230742,0,0
90,4500,4550,50.522911,0.522911,0,1
91,4550,4600,42.194202,-7.805798,0,0
92,4600,4650,50.204429,0.204429,0,1
93,4650,4700,43.031727,-6.968273,0,0
