time_bin_ms,popA_spikes,popB_spikes
0,52,55
100,445,1086
200,84,1637
300,75,1935
400,78,2008
500,71,2165
600,73,2111
700,72,2148
800,72,2161
900,75,2165
1000,77,2014
1100,112,1716
1200,667,958
1300,1237,468
1400,1731,280
1500,1934,175
1600,1954,133
1700,1879,108
1800,1952,107
1900,1944,149
2000,1388,451
2100,592,1014
2200,98,1666
2300,73,1850
2400,76,2037
2500,68,2176
2600,75,2128
2700,72,2126
2800,73,1927
2900,91,1745
3000,612,962
3100,1331,451
3200,1734,247
3300,1940,157
3400,1982,136
3500,2125,108
3600,2148,95
3700,2022,94
3800,1906,142
3900,1563,394
4000,521,994
4100,106,1628
4200,72,1871
4300,72,2059
4400,80,2060
4500,70,2163
4600,69,2053
4700,80,1917
4800,158,1689
4900,792,873
5000,1234,485
5100,1652,297
5200,1793,192
5300,1932,138
5400,2027,113
5500,2108,94
5600,2068,88
5700,1655,260
5800,965,660
5900,248,1351
6000,82,1931
6100,70,2016
6200,72,2207
6300,75,2258
6400,73,2070
6500,72,1998
6600,75,1906
6700,351,1356
6800,1036,609
6900,1671,312
7000,1837,175
7100,1955,144
7200,1881,111
7300,2169,93
7400,1981,84
7500,1987,115
7600,1697,287
7700,869,854
7800,177,1441
7900,75,1868
8000,74,1843
8100,70,2079
8200,79,2174
8300,68,2026
8400,81,2151
8500,71,1896
8600,233,1382
8700,970,729
8800,1418,380
8900,1801,230
9000,1998,145
9100,1896,118
9200,2029,96
9300,2045,95
9400,2059,136
9500,1449,418
9600,549,1011
9700,93,1658
9800,75,2044
9900,73,2114
10000,41,993
